date,respondent,respondent-name,type,type-name,timezone,timezone-description,value_energy,value-units,datatype,station,attributes,value_weather
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,54875,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",161
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,54875,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",161
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,54875,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",128
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,54875,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",117
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,54883,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",161
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,54883,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",161
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,54883,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",128
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,54883,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",117
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Eastern,Eastern,54838,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",161
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Eastern,Eastern,54838,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",161
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Eastern,Eastern,54838,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",128
2023-04-04 00:00:00,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Eastern,Eastern,54838,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",117
