period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2023-04-05,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Arizona,Arizona,53148,megawatthours
2023-04-05,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Central,Central,52662,megawatthours
2023-04-05,AZPS,Arizona Public Service Company,D,Demand,Central,Central,70131,megawatthours
2023-04-05,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Eastern,Eastern,52537,megawatthours
2023-04-05,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Mountain,Mountain,52873,megawatthours
2023-04-05,AECI,"Associated Electric Cooperative, Inc.",D,Demand,Pacific,Pacific,53148,megawatthours
2023-04-05,AVA,Avista Corporation,D,Demand,Eastern,Eastern,36960,megawatthours
2023-04-05,AVA,Avista Corporation,D,Demand,Pacific,Pacific,36776,megawatthours
2023-04-05,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,69992,megawatthours
2023-04-05,AVA,Avista Corporation,D,Demand,Arizona,Arizona,36776,megawatthours
2023-04-05,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,69839,megawatthours
2023-04-05,AVA,Avista Corporation,D,Demand,Central,Central,36878,megawatthours
2023-04-05,AVA,Avista Corporation,D,Demand,Mountain,Mountain,36811,megawatthours
2023-04-05,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,70262,megawatthours
2023-04-05,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,69839,megawatthours
2023-04-05,BANC,Balancing Authority of Northern California,D,Demand,Arizona,Arizona,40796,megawatthours
2023-04-05,BANC,Balancing Authority of Northern California,D,Demand,Central,Central,40898,megawatthours
2023-04-05,BANC,Balancing Authority of Northern California,D,Demand,Eastern,Eastern,40953,megawatthours
2023-04-05,BANC,Balancing Authority of Northern California,D,Demand,Mountain,Mountain,40850,megawatthours
2023-04-05,BANC,Balancing Authority of Northern California,D,Demand,Pacific,Pacific,40796,megawatthours
2023-04-05,BPAT,Bonneville Power Administration,D,Demand,Arizona,Arizona,162872,megawatthours
2023-04-05,BPAT,Bonneville Power Administration,D,Demand,Central,Central,163507,megawatthours
2023-04-05,BPAT,Bonneville Power Administration,D,Demand,Eastern,Eastern,163743,megawatthours
2023-04-05,BPAT,Bonneville Power Administration,D,Demand,Mountain,Mountain,163230,megawatthours
2023-04-05,BPAT,Bonneville Power Administration,D,Demand,Pacific,Pacific,162872,megawatthours
2023-04-05,CAL,California,D,Demand,Arizona,Arizona,665102,megawatthours
2023-04-05,CAL,California,D,Demand,Central,Central,667196,megawatthours
2023-04-05,CAL,California,D,Demand,Eastern,Eastern,668091,megawatthours
2023-04-05,CAL,California,D,Demand,Mountain,Mountain,666258,megawatthours
2023-04-05,CAL,California,D,Demand,Pacific,Pacific,665102,megawatthours
2023-04-05,CAR,Carolinas,D,Demand,Eastern,Eastern,574694,megawatthours
2023-04-05,CAR,Carolinas,D,Demand,Pacific,Pacific,578701,megawatthours
2023-04-05,CENT,Central,D,Demand,Central,Central,693691,megawatthours
2023-04-05,CENT,Central,D,Demand,Eastern,Eastern,694930,megawatthours
2023-04-05,CHPD,Public Utility District No. 1 of Chelan County,D,Demand,Arizona,Arizona,5225,megawatthours
2023-04-05,CHPD,Public Utility District No. 1 of Chelan County,D,Demand,Central,Central,5251,megawatthours
2023-04-05,CHPD,Public Utility District No. 1 of Chelan County,D,Demand,Eastern,Eastern,5268,megawatthours
2023-04-05,CHPD,Public Utility District No. 1 of Chelan County,D,Demand,Mountain,Mountain,5240,megawatthours
2023-04-05,CHPD,Public Utility District No. 1 of Chelan County,D,Demand,Pacific,Pacific,5225,megawatthours
2023-04-05,CISO,California Independent System Operator,D,Demand,Arizona,Arizona,551242,megawatthours
2023-04-05,CISO,California Independent System Operator,D,Demand,Central,Central,552895,megawatthours
2023-04-05,CISO,California Independent System Operator,D,Demand,Eastern,Eastern,553614,megawatthours
2023-04-05,CISO,California Independent System Operator,D,Demand,Mountain,Mountain,552135,megawatthours
2023-04-05,CISO,California Independent System Operator,D,Demand,Pacific,Pacific,551242,megawatthours
2023-04-05,CPLE,Duke Energy Progress East,D,Demand,Eastern,Eastern,152759,megawatthours
2023-04-05,CAR,Carolinas,D,Demand,Arizona,Arizona,578701,megawatthours
2023-04-05,CAR,Carolinas,D,Demand,Central,Central,576106,megawatthours
2023-04-05,CENT,Central,D,Demand,Pacific,Pacific,692775,megawatthours
