date,datatype,station,attributes,value
2023-04-05T00:00:00,TMAX,GHCND:USC00280907,",,H,0700",228
2023-04-05T00:00:00,TMAX,GHCND:USC00283704,",,H,0700",222
2023-04-05T00:00:00,TMAX,GHCND:USC00284987,",,H,0630",206
2023-04-05T00:00:00,TMAX,GHCND:USC00308577,",,H,0800",194
2023-04-05T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",122
2023-04-05T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",150
2023-04-05T00:00:00,TMAX,GHCND:USW00054743,",,W,",144
2023-04-05T00:00:00,TMAX,GHCND:USW00054787,",,W,",133
2023-04-05T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",139
2023-04-05T00:00:00,TMAX,GHCND:USW00094741,",,W,",139
2023-04-05T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",144
2023-04-05T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",122
