period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2023-03-30,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2450,megawatthours
2023-03-30,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Central,Central,2451,megawatthours
2023-03-30,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Eastern,Eastern,2453,megawatthours
2023-03-30,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Mountain,Mountain,2454,megawatthours
2023-03-30,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Pacific,Pacific,2450,megawatthours
2023-03-30,SPA,Southwestern Power Administration,D,Demand,Central,Central,1650,megawatthours
2023-03-30,SPA,Southwestern Power Administration,D,Demand,Eastern,Eastern,1665,megawatthours
2023-03-30,SPA,Southwestern Power Administration,D,Demand,Mountain,Mountain,1636,megawatthours
2023-03-30,SPA,Southwestern Power Administration,D,Demand,Pacific,Pacific,1644,megawatthours
2023-03-30,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Arizona,Arizona,69966,megawatthours
2023-03-30,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Central,Central,69887,megawatthours
2023-03-30,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Eastern,Eastern,69935,megawatthours
2023-03-30,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Mountain,Mountain,69910,megawatthours
2023-03-30,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Pacific,Pacific,69966,megawatthours
2023-03-30,SW,Southwest,D,Demand,Arizona,Arizona,247783,megawatthours
2023-03-30,SW,Southwest,D,Demand,Central,Central,247238,megawatthours
2023-03-30,SW,Southwest,D,Demand,Eastern,Eastern,247117,megawatthours
2023-03-30,SW,Southwest,D,Demand,Mountain,Mountain,247452,megawatthours
2023-03-30,SW,Southwest,D,Demand,Pacific,Pacific,247783,megawatthours
2023-03-30,SWPP,Southwest Power Pool,D,Demand,Arizona,Arizona,695876,megawatthours
2023-03-30,SWPP,Southwest Power Pool,D,Demand,Central,Central,697697,megawatthours
2023-03-30,SWPP,Southwest Power Pool,D,Demand,Eastern,Eastern,698273,megawatthours
2023-03-30,SWPP,Southwest Power Pool,D,Demand,Mountain,Mountain,696885,megawatthours
2023-03-30,SWPP,Southwest Power Pool,D,Demand,Pacific,Pacific,695876,megawatthours
2023-03-30,TAL,City of Tallahassee,D,Demand,Arizona,Arizona,6495,megawatthours
2023-03-30,TAL,City of Tallahassee,D,Demand,Central,Central,6480,megawatthours
2023-03-30,TAL,City of Tallahassee,D,Demand,Eastern,Eastern,6464,megawatthours
2023-03-30,TAL,City of Tallahassee,D,Demand,Mountain,Mountain,6490,megawatthours
2023-03-30,TAL,City of Tallahassee,D,Demand,Pacific,Pacific,6495,megawatthours
2023-03-30,TEC,Tampa Electric Company,D,Demand,Arizona,Arizona,55619,megawatthours
2023-03-30,TEC,Tampa Electric Company,D,Demand,Central,Central,55658,megawatthours
2023-03-30,TEC,Tampa Electric Company,D,Demand,Eastern,Eastern,55665,megawatthours
2023-03-30,TEC,Tampa Electric Company,D,Demand,Mountain,Mountain,55637,megawatthours
2023-03-30,TEC,Tampa Electric Company,D,Demand,Pacific,Pacific,55619,megawatthours
2023-03-30,TEPC,Tucson Electric Power,D,Demand,Arizona,Arizona,34353,megawatthours
2023-03-30,TEPC,Tucson Electric Power,D,Demand,Central,Central,34186,megawatthours
2023-03-30,TEPC,Tucson Electric Power,D,Demand,Eastern,Eastern,34128,megawatthours
2023-03-30,TEPC,Tucson Electric Power,D,Demand,Mountain,Mountain,34266,megawatthours
2023-03-30,TEPC,Tucson Electric Power,D,Demand,Pacific,Pacific,34353,megawatthours
2023-03-30,TEX,Texas,D,Demand,Arizona,Arizona,1040720,megawatthours
2023-03-30,TEX,Texas,D,Demand,Central,Central,1033303,megawatthours
2023-03-30,TEX,Texas,D,Demand,Eastern,Eastern,1029397,megawatthours
2023-03-30,TEX,Texas,D,Demand,Mountain,Mountain,1037142,megawatthours
2023-03-30,TEX,Texas,D,Demand,Pacific,Pacific,1040720,megawatthours
2023-03-30,TIDC,Turlock Irrigation District,D,Demand,Arizona,Arizona,6754,megawatthours
2023-03-30,TIDC,Turlock Irrigation District,D,Demand,Central,Central,6780,megawatthours
2023-03-30,TIDC,Turlock Irrigation District,D,Demand,Eastern,Eastern,6799,megawatthours
2023-03-30,TIDC,Turlock Irrigation District,D,Demand,Mountain,Mountain,6765,megawatthours
2023-03-30,TIDC,Turlock Irrigation District,D,Demand,Pacific,Pacific,6754,megawatthours
2023-03-30,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",D,Demand,Arizona,Arizona,13535,megawatthours
2023-03-30,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",D,Demand,Central,Central,13466,megawatthours
2023-03-30,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",D,Demand,Eastern,Eastern,13430,megawatthours
2023-03-30,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",D,Demand,Mountain,Mountain,13507,megawatthours
2023-03-30,TPWR,"City of Tacoma, Department of Public Utilities, Light Division",D,Demand,Pacific,Pacific,13535,megawatthours
2023-03-30,US48,United States Lower 48,D,Demand,Arizona,Arizona,9879855,megawatthours
2023-03-30,US48,United States Lower 48,D,Demand,Central,Central,9884506,megawatthours
2023-03-30,US48,United States Lower 48,D,Demand,Eastern,Eastern,9884589,megawatthours
2023-03-30,US48,United States Lower 48,D,Demand,Mountain,Mountain,9883263,megawatthours
2023-03-30,US48,United States Lower 48,D,Demand,Pacific,Pacific,9879855,megawatthours
2023-03-30,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Arizona,Arizona,82739,megawatthours
2023-03-30,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Central,Central,82426,megawatthours
2023-03-30,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Eastern,Eastern,82348,megawatthours
2023-03-30,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,82592,megawatthours
2023-03-30,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,82739,megawatthours
2023-03-30,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,18179,megawatthours
2023-03-30,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,18123,megawatthours
2023-03-30,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,18114,megawatthours
2023-03-30,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,18144,megawatthours
