date,datatype,station,attributes,value
2023-03-30T00:00:00,TMAX,GHCND:USW00014733,",,W,2400",17
2023-03-30T00:00:00,TMAX,GHCND:USW00014735,",,W,2400",39
2023-03-30T00:00:00,TMAX,GHCND:USW00014747,",,W,2400",22
2023-03-30T00:00:00,TMAX,GHCND:USW00014748,",,W,2400",56
2023-03-30T00:00:00,TMAX,GHCND:USW00014750,",,W,2400",33
2023-03-30T00:00:00,TMAX,GHCND:USW00014757,",,W,2400",67
2023-03-30T00:00:00,TMAX,GHCND:USW00014768,",,W,2400",39
2023-03-30T00:00:00,TMAX,GHCND:USW00014771,",,W,2400",33
2023-03-30T00:00:00,TMAX,GHCND:USW00054746,",,W,",28
2023-03-30T00:00:00,TMAX,GHCND:USW00054757,",,W,",39
2023-03-30T00:00:00,TMAX,GHCND:USW00054773,",,W,",17
2023-03-30T00:00:00,TMAX,GHCND:USW00054778,",,W,",39
2023-03-30T00:00:00,TMAX,GHCND:USW00054780,",,W,",78
2023-03-30T00:00:00,TMAX,GHCND:USW00054787,",,W,",78
2023-03-30T00:00:00,TMAX,GHCND:USW00054790,",,W,",72
2023-03-30T00:00:00,TMAX,GHCND:USW00064756,",,R,",57
2023-03-30T00:00:00,TMAX,GHCND:USW00064758,",,R,",9
2023-03-30T00:00:00,TMAX,GHCND:USW00064775,",,W,",22
2023-03-30T00:00:00,TMAX,GHCND:USW00064776,",,W,",22
2023-03-30T00:00:00,TMAX,GHCND:USW00094704,",,W,2400",50
2023-03-30T00:00:00,TMAX,GHCND:USW00094725,",,W,",11
2023-03-30T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",78
2023-03-30T00:00:00,TMAX,GHCND:USW00094740,",,W,",-21
2023-03-30T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",67
2023-03-30T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",78
2023-03-30T00:00:00,TMAX,GHCND:USW00094790,",,W,2400",17
