period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2023-03-31,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Arizona,Arizona,85512,megawatthours
2023-03-31,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Central,Central,85603,megawatthours
2023-03-31,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Eastern,Eastern,85661,megawatthours
2023-03-31,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours
2023-03-31,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours
2023-03-31,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours
2023-03-31,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours
2023-03-31,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours
2023-03-31,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours
2023-03-31,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours
2023-03-31,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours
2023-03-31,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Central,Central,2241,megawatthours
2023-03-31,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Eastern,Eastern,2253,megawatthours
2023-03-31,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Mountain,Mountain,2225,megawatthours
2023-03-31,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Pacific,Pacific,2220,megawatthours
2023-03-31,SPA,Southwestern Power Administration,D,Demand,Central,Central,1474,megawatthours
2023-03-31,SPA,Southwestern Power Administration,D,Demand,Eastern,Eastern,1470,megawatthours
2023-03-31,SPA,Southwestern Power Administration,D,Demand,Mountain,Mountain,1486,megawatthours
2023-03-31,SPA,Southwestern Power Administration,D,Demand,Pacific,Pacific,1464,megawatthours
2023-03-31,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Arizona,Arizona,67518,megawatthours
2023-03-31,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Central,Central,67841,megawatthours
2023-03-31,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Eastern,Eastern,68096,megawatthours
2023-03-31,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Mountain,Mountain,67671,megawatthours
2023-03-31,SRP,Salt River Project Agricultural Improvement and Power District,D,Demand,Pacific,Pacific,67518,megawatthours
2023-03-31,SW,Southwest,D,Demand,Arizona,Arizona,245268,megawatthours
2023-03-31,SW,Southwest,D,Demand,Central,Central,245609,megawatthours
2023-03-31,SW,Southwest,D,Demand,Eastern,Eastern,245981,megawatthours
2023-03-31,SW,Southwest,D,Demand,Mountain,Mountain,245421,megawatthours
2023-03-31,SW,Southwest,D,Demand,Pacific,Pacific,245268,megawatthours
