date,datatype,station,attributes,value
2023-03-31T00:00:00,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31T00:00:00,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31T00:00:00,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31T00:00:00,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31T00:00:00,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31T00:00:00,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31T00:00:00,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31T00:00:00,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31T00:00:00,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",117
