period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2023-04-04,DOPD,PUD No. 1 of Douglas County,D,Demand,Arizona,Arizona,5453,megawatthours
2023-04-04,DOPD,PUD No. 1 of Douglas County,D,Demand,Central,Central,5471,megawatthours
2023-04-04,DOPD,PUD No. 1 of Douglas County,D,Demand,Eastern,Eastern,5488,megawatthours
2023-04-04,DOPD,PUD No. 1 of Douglas County,D,Demand,Mountain,Mountain,5462,megawatthours
2023-04-04,DOPD,PUD No. 1 of Douglas County,D,Demand,Pacific,Pacific,5453,megawatthours
2023-04-04,DUK,Duke Energy Carolinas,D,Demand,Arizona,Arizona,261632,megawatthours
2023-04-04,DUK,Duke Energy Carolinas,D,Demand,Central,Central,261139,megawatthours
2023-04-04,DUK,Duke Energy Carolinas,D,Demand,Eastern,Eastern,260604,megawatthours
2023-04-04,DUK,Duke Energy Carolinas,D,Demand,Mountain,Mountain,261462,megawatthours
2023-04-04,DUK,Duke Energy Carolinas,D,Demand,Pacific,Pacific,261632,megawatthours
2023-04-04,EPE,El Paso Electric Company,D,Demand,Arizona,Arizona,18485,megawatthours
2023-04-04,EPE,El Paso Electric Company,D,Demand,Central,Central,18531,megawatthours
2023-04-04,EPE,El Paso Electric Company,D,Demand,Eastern,Eastern,18590,megawatthours
2023-04-04,EPE,El Paso Electric Company,D,Demand,Mountain,Mountain,18504,megawatthours
2023-04-04,EPE,El Paso Electric Company,D,Demand,Pacific,Pacific,18485,megawatthours
2023-04-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1189088,megawatthours
2023-04-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1189418,megawatthours
2023-04-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1190250,megawatthours
2023-04-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1189026,megawatthours
2023-04-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1189088,megawatthours
2023-04-04,FLA,Florida,D,Demand,Arizona,Arizona,766338,megawatthours
2023-04-04,FLA,Florida,D,Demand,Central,Central,764013,megawatthours
2023-04-04,FLA,Florida,D,Demand,Eastern,Eastern,763181,megawatthours
2023-04-04,FLA,Florida,D,Demand,Mountain,Mountain,765190,megawatthours
2023-04-04,FLA,Florida,D,Demand,Pacific,Pacific,766338,megawatthours
2023-04-04,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,56175,megawatthours
2023-04-04,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,55959,megawatthours
2023-04-04,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,55864,megawatthours
2023-04-04,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,56071,megawatthours
2023-04-04,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,56175,megawatthours
2023-04-04,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,165651,megawatthours
2023-04-04,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,164938,megawatthours
